"label","numberOfGames","totalRevenue","averageRevenue","averagePrice","averagePlayTime","medianRevenue","top25","top5","bottom30"
"1970","1040","6729357","6470.535576923077","7.654999999999845","1.8345754842627304","23","177","3763","3"
"2008","140","239439001","1710278.5785714285","9.622714285714293","10.381519263715177","100589","807553","6945193","36050"
"2009","306","988066810","3228976.5032679737","10.124379084967243","11.718507656139922","90142","486426","10836429","30873"
"2010","238","681639323","2864030.768907563","9.05584033613445","11.856525809807824","71656","406016","12038610","22308"
"2011","254","914513678","3600447.551181102","9.961220472440903","9.363107139932765","151002","707320","18345450","57194"
"2012","312","10081047873","32311050.875","10.532339743589647","9.421436002872534","246569","1012521","32580802","75055"
"2013","441","5510668007","12495845.820861679","11.26619047619033","9.751157666390283","237228","1485688","19694917","95120"
"2014","1459","2176172611","1491550.7957505141","9.264729266620783","8.430912647993194","49379","203842","6110707","14018"
"2015","2403","3684419351","1533258.1568872244","8.162155638785126","8.440579888701082","18436","93327","2655880","5106"
"2016","3956","5714204747","1444440.0270475228","7.528718402427553","7.047752380073136","7709","48883","1543225","2082"
"2017","5643","9233593026","1636291.5162147793","7.312947013999613","7.162714968811975","2515","19546","963972","565"
"2018","7146","5322023942","744755.6593898685","7.061340610130926","6.343084427401478","1048","9676","585420","200"
"2019","7057","5719739265","810505.7765339379","7.382075952953771","6.016677324087946","682","8700","630308","93"
"2020","8658","7944738442","917618.2076692077","7.364521829520881","5.6083349928850215","622","7715","589295","94"
"2021","10321","5046627930","488966.9537835481","7.676047863579961","5.478498844141597","517","5231","470520","84"
"2022","11335","6226873761","549349.2510807235","8.283011027791982","5.454541700486675","448","5274","393891","67"
"2023","13378","6124206190","457781.894902078","8.655013454928767","5.139041209967475","324","4558","393019","50"
"2024","18523","6863368029","370532.2047724451","8.18330346056273","5.115798257647385","196","2826","235370","25"
"2025","4284","1234304658","288119.6680672269","8.215359477124629","3.5460352201676395","183","2893","191625","24"